lat,lon,rainfall_24h,rainfall_7d
10.133153382447128,76.50629445971597,36.15,72.65
9.764137752998499,75.72059719451758,60.89,90.43
11.159214232620846,76.79834578106383,124.71,212.28
9.245986513511907,75.67387368223,32.82,101.38
10.096244106578217,77.07070132391793,117.21,315.22
8.790607058109206,76.6433702493829,9.34,52.72
11.60413399579428,76.25158694762193,12.61,272.2
11.113723226274034,75.58810022512144,21.49,88.51
11.243146454872956,76.26957046116719,75.95,237.89
11.515469046015287,76.69543684445259,52.63,245.6
10.387321592791345,75.60549987096873,122.4,47.4
10.780914908105482,75.78452974600965,34.39,272.41
9.236664105523566,76.54125477912518,58.48,86.03
9.162889117092785,76.86546232117962,113.69,115.19
11.12375602618481,76.09363809003973,31.82,59.99
10.435592102132345,75.54187566894016,101.06,170.48
10.756306415473576,75.3231904303186,69.75,144.71
11.454698588813654,75.65621956358423,123.79,159.43
11.016846201749253,75.50082285478973,72.07,74.39
10.707802410519683,76.37015551514341,15.46,294.22
11.64464598974447,76.20324387635745,60.45,134.14
9.829979430862656,76.10074505893148,128.52,263.68
8.86665175169813,76.40988267593903,19.87,295.41
10.29558834379634,76.21628977544435,44.51,256.28
9.515456850858975,75.62716620019843,103.17,75.71
10.212990184705255,76.58473892997922,83.07,10.72
9.448101054952334,77.16012689157893,111.86,307.5
9.56935607653742,76.47194420756959,82.2,131.81
8.969630306500834,75.50426709732993,94.4,152.94
9.753711355711966,75.50099694654202,61.46,304.52
9.787539249354376,76.77441714664789,88.15,272.26
11.086011239478676,75.93461409077258,116.02,242.38
10.742218372306466,75.78246032119742,85.8,103.77
11.546264710317747,76.07772453721915,96.01,134.97
11.67185456790189,76.27659347605064,66.16,291.2
10.190252387750084,76.83340936521945,44.51,136.53
11.63797386881143,75.74708817356066,11.92,216.92
9.347419397822641,76.78458077832555,2.57,111.23
8.821562155042981,75.34811972889433,111.88,86.47
9.074705380518967,76.17719775182667,35.77,52.98
11.307881317615378,76.31960227511021,118.34,72.78
10.390926538440947,75.47547757903851,123.88,199.12
9.315168023500108,75.52830770000968,41.66,312.6
10.525699235671851,75.97614574252891,3.02,134.02
9.301961193031424,76.84927788276208,57.71,300.14
11.232556862810382,76.24833455538968,70.79,161.85
10.337820853291255,76.78786049256911,31.75,292.93
10.115341587627467,76.59727715155363,127.17,240.95
11.70794001685686,76.20787770275888,62.48,151.5
10.979709993856524,76.55996609463429,37.61,89.92
10.037013608687417,75.32583832600993,28.45,262.98
9.07197431115099,75.4646613804155,0.98,114.2
9.17784627759825,76.63726099979941,17.98,250.04
12.15320783417006,76.57160921902496,129.82,69.7
11.965080359489335,75.6699091971227,80.56,299.2
9.69772463436599,76.90378921909775,114.14,327.44
9.68695732774942,76.28117078490521,86.25,44.67
12.200552018132141,76.67867301744187,55.05,181.18
11.51458869355098,76.27055633921042,84.85,317.53
11.30994282879116,75.96060829291696,12.38,235.63
10.359533254956947,75.89324426108037,59.96,141.68
9.703000119187022,75.98657927113432,45.93,254.11
11.58996360225846,76.10963692359793,54.17,109.68
11.96170313112065,76.69702669381901,63.86,286.84
10.357323089791677,76.03760707471186,12.49,57.59
9.469405145421288,75.68356885512779,6.86,10.16
9.834235515525645,75.68689849723489,4.53,212.2
10.815923289266216,76.48366287384685,19.09,276.85
9.387237117732777,76.60767827446618,106.5,38.75
11.787815154066095,75.4755788544498,33.47,243.22
11.44286968904672,75.41400215076673,60.41,124.05
11.295669170120185,76.24234524225338,97.69,46.86
10.271509761704948,75.52416593165897,22.8,265.16
10.9739015831979,76.63417435845096,17.84,212.6
10.82200967485625,75.79332302357943,113.76,312.43
11.068141204282837,75.52096411312488,28.7,213.38
11.543672507449147,76.05704175392341,73.63,180.78
10.235972685450827,75.57116673952872,3.46,25.33
8.9007770707834,75.75513789400937,33.82,139.78
10.511404717880028,75.55557977684703,72.96,129.46
9.914128206626241,75.48544165598764,40.92,184.87
9.268360441949756,75.32081920246588,0.14,75.81
9.128915880346621,75.39302137755968,22.35,285.98
10.835236909439498,75.57870910619772,121.62,28.44
9.347060386544808,75.38798423195813,25.41,220.65
12.025599188917733,76.23380481489552,26.91,141.05
10.803051194911594,76.37818400362691,111.84,109.32
9.97721056669422,75.91646684321628,46.46,92.09
10.851064546779282,75.79994746405346,115.49,298.2
8.81894867387073,76.09546406792423,14.99,202.07
10.11865906892629,77.0905714695379,132.63,329.19
10.462959016953878,76.67671091926111,5.74,134.39
11.523428156806645,75.38301946418184,74.99,259.92
9.033801735534412,75.60475647967145,64.82,163.04
10.491763616331841,75.67521376460354,51.68,191.27
10.480851408274983,75.6936526901239,25.12,42.02
