zone_id,date,predicted_risk_level,actual_outcome
loc_031,2024-09-11,severe,minor
loc_031,2024-10-23,low,moderate
loc_031,2025-08-23,low,none
loc_031,2026-02-25,low,none
loc_032,2025-05-02,severe,moderate
loc_032,2025-07-08,severe,minor
loc_032,2025-09-02,high,moderate
loc_032,2025-09-19,low,minor
loc_032,2025-11-14,moderate,none
loc_032,2026-01-29,moderate,none
loc_033,2024-10-29,moderate,none
loc_033,2025-01-11,moderate,none
loc_033,2025-01-25,severe,severe
loc_033,2025-08-17,severe,severe
loc_033,2025-09-03,severe,none
loc_033,2026-05-05,low,none
loc_034,2024-11-01,high,moderate
loc_034,2025-02-18,severe,severe
loc_034,2025-02-26,moderate,moderate
loc_034,2026-04-04,high,severe
loc_034,2026-08-29,low,none
loc_035,2025-09-13,high,moderate
loc_035,2025-11-04,moderate,moderate
loc_035,2026-01-17,moderate,none
loc_035,2026-02-26,high,moderate
loc_035,2026-05-11,high,severe
loc_035,2026-06-27,severe,moderate
loc_035,2026-07-03,low,minor
loc_036,2025-04-13,severe,moderate
loc_036,2025-05-06,high,moderate
loc_036,2025-07-01,low,minor
loc_036,2025-11-19,moderate,none
loc_036,2025-12-08,moderate,minor
loc_036,2026-06-05,high,severe
loc_036,2026-06-23,moderate,minor
loc_037,2024-12-22,high,minor
loc_037,2025-04-06,high,moderate
loc_037,2025-08-03,high,minor
loc_037,2026-02-18,severe,severe
loc_037,2026-03-03,moderate,minor
loc_037,2026-08-04,severe,moderate
loc_038,2025-12-20,low,none
loc_038,2026-04-10,low,minor
loc_038,2026-06-02,high,severe
loc_038,2026-08-16,severe,moderate
loc_039,2024-10-11,severe,none
loc_039,2024-11-19,moderate,none
loc_039,2025-02-19,severe,severe
loc_039,2025-06-15,severe,minor
loc_039,2025-12-25,severe,severe
loc_040,2024-09-22,high,severe
loc_040,2025-02-21,moderate,moderate
loc_040,2025-06-21,severe,none
loc_040,2026-07-28,high,none
loc_041,2024-11-01,severe,severe
loc_041,2025-07-08,high,moderate
loc_041,2025-10-07,moderate,none
loc_041,2025-10-26,moderate,none
loc_041,2025-11-06,severe,severe
loc_041,2026-02-20,low,minor
loc_041,2026-03-21,severe,none
loc_042,2024-09-13,low,minor
loc_042,2024-10-31,moderate,none
loc_042,2025-06-14,low,moderate
loc_042,2026-06-06,moderate,none
loc_042,2026-08-03,moderate,minor
loc_042,2026-08-18,severe,severe
loc_043,2025-04-08,low,none
loc_043,2025-10-15,moderate,minor
loc_043,2025-12-22,high,severe
loc_043,2026-06-02,moderate,none
loc_043,2026-08-21,moderate,moderate
loc_044,2025-03-06,moderate,moderate
loc_044,2025-08-10,severe,minor
loc_044,2026-04-02,moderate,none
loc_044,2026-05-23,high,severe
loc_045,2024-10-08,high,moderate
loc_045,2025-07-10,low,minor
loc_045,2026-07-16,high,none
loc_045,2026-08-03,moderate,minor
loc_046,2024-10-08,high,moderate
loc_046,2025-01-30,low,none
loc_046,2025-02-16,severe,moderate
loc_046,2025-03-12,high,moderate
loc_046,2026-03-23,severe,moderate
loc_047,2025-06-27,moderate,none
loc_047,2025-07-01,low,none
loc_047,2025-09-07,severe,moderate
loc_047,2025-11-11,high,moderate
loc_047,2026-01-13,low,minor
loc_047,2026-05-08,moderate,none
loc_048,2024-10-05,high,severe
loc_048,2024-12-11,moderate,moderate
loc_048,2024-12-22,severe,moderate
loc_048,2026-05-25,moderate,none
loc_048,2026-07-13,low,none
loc_049,2024-09-04,moderate,moderate
loc_049,2024-11-04,high,severe
loc_049,2026-05-14,high,severe
loc_049,2026-08-29,moderate,none
loc_050,2025-02-06,severe,moderate
loc_050,2025-03-05,moderate,moderate
loc_050,2025-05-12,low,minor
loc_050,2025-10-06,high,severe
loc_050,2025-11-16,severe,none
loc_050,2025-12-26,moderate,none
loc_050,2026-02-22,high,moderate
loc_050,2026-04-25,high,moderate
loc_051,2024-10-07,high,severe
loc_051,2024-12-30,severe,none
loc_051,2025-01-05,low,severe
loc_051,2025-02-20,moderate,moderate
loc_051,2025-05-10,moderate,minor
loc_051,2025-10-10,moderate,none
loc_051,2025-10-24,severe,none
loc_051,2026-01-20,low,minor
loc_052,2024-10-08,severe,severe
loc_052,2025-03-05,severe,none
loc_052,2025-06-17,high,minor
loc_052,2025-07-04,low,moderate
loc_052,2025-10-20,severe,minor
loc_052,2026-04-05,low,moderate
loc_052,2026-06-01,high,severe
loc_053,2024-11-04,high,moderate
loc_053,2024-12-26,low,moderate
loc_053,2025-05-09,severe,none
loc_053,2026-03-24,severe,severe
loc_053,2026-03-27,high,severe
loc_053,2026-06-05,moderate,minor
loc_053,2026-07-05,moderate,none
loc_053,2026-08-04,high,moderate
loc_054,2024-09-17,moderate,moderate
loc_054,2024-10-20,high,severe
loc_054,2025-06-16,low,none
loc_054,2025-09-03,high,severe
loc_054,2025-10-23,high,moderate
loc_054,2025-11-14,high,moderate
loc_054,2026-02-08,severe,none
loc_054,2026-02-26,low,none
loc_055,2024-10-04,moderate,none
loc_055,2024-10-12,severe,moderate
loc_055,2025-01-26,severe,moderate
loc_055,2025-05-07,low,moderate
loc_055,2025-08-18,low,moderate
loc_055,2025-11-02,low,none
loc_055,2026-01-14,low,none
loc_056,2024-10-30,moderate,minor
loc_056,2024-11-10,moderate,moderate
loc_056,2025-03-04,moderate,none
loc_056,2025-04-09,low,none
loc_056,2025-06-27,severe,none
loc_056,2025-10-10,low,none
loc_056,2025-11-23,severe,minor
loc_057,2024-12-27,moderate,moderate
loc_057,2025-11-16,low,minor
loc_057,2026-03-10,moderate,none
loc_057,2026-05-13,high,severe
loc_057,2026-06-18,severe,moderate
loc_058,2024-10-15,high,moderate
loc_058,2025-04-29,low,minor
loc_058,2025-05-02,high,severe
loc_058,2026-02-02,moderate,minor
loc_058,2026-05-12,low,none
loc_058,2026-05-16,low,moderate
loc_058,2026-07-20,low,none
loc_059,2024-12-01,moderate,moderate
loc_059,2024-12-06,high,moderate
loc_059,2024-12-24,severe,moderate
loc_059,2025-03-05,high,moderate
loc_059,2025-05-31,severe,severe
loc_059,2025-06-15,moderate,none
loc_060,2024-10-23,low,none
loc_060,2025-01-15,high,minor
loc_060,2025-09-24,moderate,minor
loc_060,2025-10-14,low,moderate
loc_060,2025-12-10,high,severe
loc_060,2026-04-04,low,none
loc_060,2026-05-07,severe,severe
loc_060,2026-07-08,severe,moderate
loc_061,2024-10-16,severe,severe
loc_061,2024-12-21,low,moderate
loc_061,2025-07-15,moderate,none
loc_061,2025-08-04,high,none
loc_061,2025-10-09,moderate,moderate
loc_061,2026-02-13,severe,moderate
loc_062,2025-03-31,high,moderate
loc_062,2025-10-12,moderate,moderate
loc_062,2026-05-12,low,minor
loc_062,2026-08-27,severe,moderate
loc_063,2025-04-10,high,moderate
loc_063,2025-08-06,moderate,none
loc_063,2025-10-16,high,severe
loc_063,2025-12-18,severe,moderate
loc_063,2026-02-13,low,minor
loc_063,2026-02-20,moderate,minor
loc_064,2024-12-11,low,minor
loc_064,2025-01-04,severe,moderate
loc_064,2025-04-26,moderate,none
loc_064,2025-12-29,high,severe
loc_064,2026-04-12,moderate,none
loc_064,2026-05-23,low,minor
loc_065,2025-04-23,moderate,none
loc_065,2025-07-19,high,severe
loc_065,2025-10-05,high,moderate
loc_065,2026-02-27,high,none
loc_065,2026-06-28,moderate,minor
loc_066,2024-09-17,high,minor
loc_066,2025-11-21,severe,minor
loc_066,2026-02-27,low,severe
loc_066,2026-04-18,high,none
loc_066,2026-05-20,severe,severe
loc_066,2026-06-30,moderate,none
loc_066,2026-07-08,severe,minor
loc_067,2025-02-07,moderate,severe
loc_067,2025-02-23,moderate,minor
loc_067,2025-04-12,high,severe
loc_067,2025-06-27,moderate,none
loc_068,2024-11-24,high,severe
loc_068,2025-05-04,low,none
loc_068,2026-04-06,moderate,moderate
loc_068,2026-06-04,low,moderate
loc_068,2026-07-19,severe,none
loc_068,2026-07-24,moderate,moderate
loc_069,2024-11-21,severe,moderate
loc_069,2024-12-23,high,severe
loc_069,2025-08-15,high,severe
loc_069,2025-09-02,moderate,none
loc_070,2024-11-17,low,minor
loc_070,2025-01-08,moderate,none
loc_070,2026-01-05,moderate,none
loc_070,2026-08-15,low,none
loc_070,2026-08-27,high,moderate
loc_071,2024-10-20,low,none
loc_071,2024-11-03,high,moderate
loc_071,2025-04-27,high,severe
loc_071,2025-06-16,severe,severe
loc_071,2025-08-26,low,moderate
loc_071,2026-04-09,moderate,minor
loc_071,2026-05-02,moderate,minor
loc_072,2024-09-20,high,none
loc_072,2025-03-08,moderate,minor
loc_072,2025-05-06,severe,severe
loc_072,2025-07-07,high,none
loc_072,2025-09-29,moderate,minor
loc_072,2025-10-10,low,severe
loc_073,2025-05-05,severe,moderate
loc_073,2025-06-19,low,moderate
loc_073,2025-06-28,high,moderate
loc_073,2026-03-04,low,minor
loc_073,2026-04-25,low,none
loc_073,2026-07-03,severe,severe
loc_073,2026-07-31,moderate,severe
loc_074,2024-09-20,severe,moderate
loc_074,2024-12-06,low,none
loc_074,2025-05-30,high,moderate
loc_074,2025-06-08,low,minor
loc_074,2025-07-04,moderate,none
loc_074,2025-08-12,moderate,none
loc_074,2026-02-20,high,moderate
loc_074,2026-03-09,moderate,moderate
loc_075,2024-09-01,high,moderate
loc_075,2025-01-04,severe,none
loc_075,2025-02-03,low,moderate
loc_075,2025-08-06,moderate,none
loc_075,2025-08-15,severe,none
loc_075,2025-12-12,low,none
loc_076,2025-05-22,severe,moderate
loc_076,2025-07-07,low,none
loc_076,2025-12-21,high,moderate
loc_076,2026-06-15,moderate,minor
loc_077,2024-11-29,moderate,severe
loc_077,2025-11-27,low,none
loc_077,2026-03-05,low,minor
loc_077,2026-06-12,high,severe
loc_077,2026-07-12,low,moderate
loc_078,2024-10-16,moderate,none
loc_078,2026-07-02,moderate,moderate
loc_078,2026-08-17,severe,severe
loc_078,2026-08-30,severe,moderate
loc_079,2025-04-23,high,severe
loc_079,2025-05-21,severe,severe
loc_079,2026-04-05,severe,moderate
loc_079,2026-04-07,low,none
loc_079,2026-08-11,moderate,none
loc_080,2024-11-09,moderate,minor
loc_080,2025-12-07,moderate,minor
loc_080,2025-12-26,high,moderate
loc_080,2026-07-10,moderate,moderate
loc_080,2026-08-09,moderate,none
loc_080,2026-08-10,severe,moderate
loc_080,2026-08-11,moderate,minor
loc_081,2024-11-16,severe,severe
loc_081,2025-06-14,severe,none
loc_081,2026-03-09,severe,moderate
loc_081,2026-04-28,severe,severe
loc_081,2026-07-24,high,severe
loc_082,2025-01-27,high,none
loc_082,2025-04-30,severe,none
loc_082,2025-05-04,severe,severe
loc_082,2025-08-30,low,none
loc_082,2025-09-28,low,severe
loc_082,2026-01-05,severe,severe
loc_082,2026-01-11,low,minor
loc_082,2026-03-30,moderate,minor
loc_083,2024-11-25,severe,severe
loc_083,2025-02-09,low,none
loc_083,2025-02-26,low,moderate
loc_083,2025-04-11,severe,severe
loc_083,2025-07-03,moderate,none
loc_083,2025-11-09,severe,severe
loc_083,2026-06-28,high,none
loc_084,2025-02-04,moderate,minor
loc_084,2025-06-03,low,none
loc_084,2025-08-26,moderate,none
loc_084,2025-09-16,severe,severe
loc_084,2025-10-29,high,moderate
loc_084,2025-10-30,severe,severe
loc_084,2026-07-25,moderate,minor
loc_085,2024-12-07,severe,severe
loc_085,2025-02-27,moderate,severe
loc_085,2025-09-26,moderate,none
loc_085,2026-05-31,low,minor
loc_086,2024-09-04,severe,moderate
loc_086,2024-10-03,moderate,severe
loc_086,2025-01-27,severe,none
loc_086,2025-09-27,severe,severe
loc_086,2026-06-23,high,severe
loc_087,2025-01-04,severe,moderate
loc_087,2025-01-17,severe,severe
loc_087,2025-03-29,high,none
loc_087,2025-06-18,severe,severe
loc_088,2024-11-23,moderate,none
loc_088,2025-04-08,high,moderate
loc_088,2025-06-10,moderate,minor
loc_088,2026-03-13,low,minor
loc_088,2026-04-30,severe,severe
loc_088,2026-06-20,high,severe
loc_088,2026-08-15,low,severe
loc_089,2024-11-03,moderate,moderate
loc_089,2025-01-29,low,minor
loc_089,2025-06-08,moderate,minor
loc_089,2026-02-12,high,moderate
loc_090,2025-10-21,low,none
loc_090,2025-11-26,severe,minor
loc_090,2025-12-27,moderate,minor
loc_090,2026-04-09,high,severe
loc_090,2026-07-14,high,moderate
loc_090,2026-07-17,high,none
loc_091,2025-02-13,moderate,none
loc_091,2025-04-23,high,none
loc_091,2025-07-18,moderate,moderate
loc_091,2026-03-18,moderate,moderate
loc_092,2025-01-02,severe,none
loc_092,2025-07-17,high,severe
loc_092,2025-09-24,severe,moderate
loc_092,2026-02-10,moderate,minor
loc_093,2025-02-14,low,moderate
loc_093,2025-11-08,moderate,minor
loc_093,2026-04-09,moderate,none
loc_093,2026-07-06,severe,none
loc_093,2026-08-19,high,minor
loc_094,2025-01-24,high,moderate
loc_094,2025-05-13,moderate,moderate
loc_094,2025-11-12,moderate,none
loc_094,2025-12-03,moderate,severe
loc_094,2025-12-11,moderate,moderate
loc_094,2025-12-18,high,none
loc_094,2026-04-17,high,minor
loc_094,2026-08-04,severe,none
loc_095,2025-03-01,severe,moderate
loc_095,2025-06-16,severe,moderate
loc_095,2025-08-16,low,minor
loc_095,2025-10-08,moderate,minor
loc_095,2026-05-05,high,severe
loc_095,2026-06-08,moderate,none
loc_095,2026-07-31,moderate,none
loc_096,2024-11-19,low,minor
loc_096,2024-12-05,moderate,none
loc_096,2025-01-06,high,moderate
loc_096,2025-01-11,moderate,none
loc_096,2025-06-14,low,none
loc_096,2025-08-18,high,moderate
loc_096,2026-04-23,severe,moderate
loc_096,2026-05-22,low,none
loc_097,2024-10-14,severe,moderate
loc_097,2025-12-15,severe,severe
loc_097,2026-02-02,moderate,none
loc_097,2026-05-27,low,moderate
loc_097,2026-06-13,moderate,severe
loc_098,2025-01-22,severe,moderate
loc_098,2025-08-15,high,none
loc_098,2025-10-21,moderate,severe
loc_098,2026-01-02,severe,minor
loc_099,2024-12-03,low,minor
loc_099,2025-01-03,high,moderate
loc_099,2025-11-18,moderate,minor
loc_099,2025-12-05,low,none
loc_099,2026-02-23,low,minor
loc_099,2026-05-03,severe,moderate
loc_099,2026-07-06,low,moderate
loc_099,2026-08-29,high,severe
loc_100,2024-09-04,moderate,minor
loc_100,2025-03-04,moderate,minor
loc_100,2025-03-21,severe,severe
loc_100,2025-10-29,severe,severe
loc_100,2026-01-08,moderate,moderate
loc_100,2026-06-19,severe,moderate
loc_100,2026-08-28,low,none
loc_100,2026-09-01,severe,moderate
loc_101,2024-12-08,high,severe
loc_101,2024-12-12,high,severe
loc_101,2025-05-30,moderate,none
loc_101,2025-06-22,severe,severe
loc_101,2025-10-18,low,none
loc_101,2026-05-23,moderate,minor
loc_102,2025-01-14,moderate,none
loc_102,2025-01-19,moderate,none
loc_102,2025-06-30,low,minor
loc_102,2025-12-10,severe,minor
loc_102,2026-02-16,severe,severe
loc_103,2025-03-07,low,moderate
loc_103,2025-03-21,high,moderate
loc_103,2025-06-15,moderate,minor
loc_103,2025-12-12,low,minor
loc_103,2026-07-12,low,moderate
loc_104,2024-10-07,high,none
loc_104,2025-07-20,severe,none
loc_104,2025-09-05,low,moderate
loc_104,2025-11-27,low,moderate
loc_104,2026-02-27,severe,minor
loc_104,2026-03-25,low,severe
loc_104,2026-05-16,high,none
loc_104,2026-08-23,high,moderate
loc_105,2025-12-26,moderate,none
loc_105,2026-02-10,low,severe
loc_105,2026-02-21,severe,severe
loc_105,2026-04-06,moderate,minor
loc_105,2026-08-04,severe,moderate
loc_105,2026-08-04,low,none
loc_106,2025-03-02,moderate,minor
loc_106,2025-09-13,moderate,moderate
loc_106,2025-11-11,low,minor
loc_106,2025-11-18,severe,moderate
loc_106,2025-12-26,moderate,moderate
loc_106,2026-08-18,severe,severe
loc_107,2025-05-22,moderate,moderate
loc_107,2025-07-28,high,moderate
loc_107,2025-10-17,low,none
loc_107,2026-02-28,low,moderate
loc_107,2026-05-08,moderate,moderate
loc_107,2026-05-27,high,severe
loc_108,2024-11-15,moderate,minor
loc_108,2025-01-26,moderate,severe
loc_108,2025-02-27,high,severe
loc_108,2025-05-07,severe,moderate
loc_108,2025-12-09,severe,moderate
loc_108,2025-12-13,moderate,none
loc_109,2024-11-27,low,none
loc_109,2024-12-13,moderate,none
loc_109,2025-04-01,severe,moderate
loc_109,2026-08-12,moderate,severe
loc_110,2024-09-23,low,moderate
loc_110,2024-11-02,low,moderate
loc_110,2025-04-13,severe,minor
loc_110,2025-07-01,high,minor
loc_110,2025-08-08,moderate,none
loc_111,2025-03-10,low,minor
loc_111,2026-01-15,severe,severe
loc_111,2026-04-08,moderate,none
loc_111,2026-06-07,high,severe
loc_112,2024-12-23,moderate,minor
loc_112,2025-06-27,low,none
loc_112,2025-07-28,low,none
loc_112,2025-10-11,high,moderate
loc_112,2025-11-20,high,severe
loc_112,2026-01-20,high,moderate
loc_112,2026-08-21,high,none
loc_113,2025-06-27,high,none
loc_113,2025-07-20,low,none
loc_113,2025-12-14,severe,none
loc_113,2026-02-10,moderate,moderate
loc_113,2026-05-12,severe,severe
loc_113,2026-08-04,severe,minor
loc_114,2024-12-15,high,moderate
loc_114,2024-12-22,low,minor
loc_114,2025-07-13,low,minor
loc_114,2025-08-09,high,none
loc_114,2025-08-19,high,none
loc_114,2026-02-01,moderate,minor
loc_115,2024-12-24,low,minor
loc_115,2025-02-16,moderate,none
loc_115,2025-04-14,low,none
loc_115,2025-12-03,severe,moderate
loc_116,2025-02-24,low,none
loc_116,2025-04-24,high,minor
loc_116,2025-05-08,low,minor
loc_116,2026-01-12,high,moderate
loc_116,2026-05-02,low,minor
loc_116,2026-05-15,moderate,moderate
loc_116,2026-08-28,moderate,minor
loc_117,2025-01-08,low,minor
loc_117,2025-02-14,severe,moderate
loc_117,2025-04-30,high,moderate
loc_117,2025-09-05,high,moderate
loc_117,2025-09-25,high,moderate
loc_117,2025-12-10,severe,moderate
loc_117,2026-01-10,high,severe
loc_117,2026-08-22,moderate,severe
loc_118,2024-10-18,high,severe
loc_118,2025-03-06,severe,moderate
loc_118,2025-09-15,low,moderate
loc_118,2026-04-12,low,none
loc_119,2024-12-02,low,severe
loc_119,2025-06-07,low,none
loc_119,2025-11-13,low,moderate
loc_119,2026-02-12,low,none
loc_119,2026-03-19,high,moderate
loc_119,2026-06-18,moderate,minor
loc_119,2026-06-23,low,minor
loc_120,2024-10-04,severe,minor
loc_120,2024-11-16,high,moderate
loc_120,2025-04-26,moderate,moderate
loc_120,2025-12-06,moderate,moderate
loc_120,2026-01-21,low,moderate
loc_121,2025-01-08,moderate,none
loc_121,2025-04-10,high,severe
loc_121,2025-10-26,low,none
loc_121,2026-04-26,low,moderate
loc_121,2026-06-01,severe,none
loc_122,2024-10-19,low,minor
loc_122,2025-04-17,high,minor
loc_122,2025-08-18,severe,none
loc_122,2025-12-29,moderate,moderate
loc_122,2026-02-16,high,severe
loc_122,2026-05-14,low,moderate
loc_122,2026-08-11,high,minor
loc_123,2025-02-05,low,moderate
loc_123,2025-02-08,moderate,none
loc_123,2025-08-06,high,minor
loc_123,2025-11-06,low,minor
loc_124,2024-11-09,moderate,minor
loc_124,2024-12-12,low,severe
loc_124,2025-04-15,low,moderate
loc_124,2025-07-27,high,none
loc_124,2025-09-16,high,none
loc_124,2026-05-12,moderate,none
loc_124,2026-07-29,severe,none
loc_125,2024-09-24,high,moderate
loc_125,2024-12-07,moderate,none
loc_125,2024-12-12,low,none
loc_125,2024-12-13,severe,moderate
loc_125,2025-10-01,low,none
loc_126,2024-09-16,high,moderate
loc_126,2025-06-16,low,none
loc_126,2025-07-28,severe,moderate
loc_126,2025-12-21,high,moderate
loc_126,2026-03-27,moderate,none
loc_126,2026-05-13,severe,severe
loc_126,2026-05-18,high,severe
loc_127,2024-12-17,moderate,minor
loc_127,2025-05-04,severe,none
loc_127,2025-05-26,severe,severe
loc_127,2025-07-28,low,moderate
loc_127,2025-08-17,low,moderate
loc_127,2025-11-14,severe,severe
loc_127,2026-03-17,low,minor
loc_127,2026-07-12,severe,moderate
loc_128,2024-10-04,severe,moderate
loc_128,2025-09-03,high,none
loc_128,2026-07-12,low,none
loc_128,2026-07-24,low,minor
loc_129,2024-12-04,high,none
loc_129,2025-01-25,high,none
loc_129,2025-04-29,moderate,moderate
loc_129,2025-06-14,moderate,none
loc_129,2025-08-08,moderate,severe
loc_129,2025-09-06,high,severe
loc_129,2026-01-30,high,none
loc_129,2026-02-06,moderate,none
loc_130,2025-02-22,moderate,minor
loc_130,2025-04-05,high,severe
loc_130,2025-10-18,moderate,none
loc_130,2026-06-20,high,moderate
loc_131,2024-09-29,severe,moderate
loc_131,2024-10-24,moderate,minor
loc_131,2024-11-21,moderate,none
loc_131,2024-12-20,severe,severe
loc_131,2025-01-09,high,severe
loc_131,2025-03-24,moderate,none
loc_131,2025-05-04,severe,moderate
loc_131,2026-08-27,high,severe
loc_132,2025-01-26,low,none
loc_132,2025-04-28,severe,moderate
loc_132,2025-06-09,low,none
loc_132,2026-03-08,moderate,severe
loc_132,2026-07-15,low,minor
loc_133,2024-10-20,severe,none
loc_133,2024-11-29,severe,none
loc_133,2025-03-22,moderate,minor
loc_133,2026-02-19,low,minor
loc_133,2026-08-28,severe,severe
loc_134,2025-04-28,severe,severe
loc_134,2025-07-25,moderate,minor
loc_134,2026-02-23,low,none
loc_134,2026-05-15,moderate,none
loc_134,2026-05-20,severe,severe
